📄 Logging to: output/R/EM_simpleavg/log_20251114_112348.txt
Use GPU: 7 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: R
number of test samples: 30000
Test: [   99/30000]	Time  0.331 ( 0.338)	Acc@1 100.00 ( 79.00)	Acc@5 100.00 ( 95.00)
Test: [  199/30000]	Time  0.338 ( 0.336)	Acc@1 100.00 ( 76.50)	Acc@5 100.00 ( 93.50)
Test: [  299/30000]	Time  0.338 ( 0.337)	Acc@1 100.00 ( 75.00)	Acc@5 100.00 ( 91.00)
Test: [  399/30000]	Time  0.342 ( 0.338)	Acc@1 100.00 ( 74.75)	Acc@5 100.00 ( 90.00)
Test: [  499/30000]	Time  0.352 ( 0.340)	Acc@1   0.00 ( 74.00)	Acc@5   0.00 ( 89.80)
Test: [  599/30000]	Time  0.342 ( 0.341)	Acc@1 100.00 ( 73.50)	Acc@5 100.00 ( 90.17)
Test: [  699/30000]	Time  0.343 ( 0.341)	Acc@1 100.00 ( 74.14)	Acc@5 100.00 ( 89.71)
Test: [  799/30000]	Time  0.336 ( 0.342)	Acc@1 100.00 ( 74.62)	Acc@5 100.00 ( 90.00)
Test: [  899/30000]	Time  0.345 ( 0.342)	Acc@1 100.00 ( 75.33)	Acc@5 100.00 ( 90.44)
Test: [  999/30000]	Time  0.349 ( 0.342)	Acc@1   0.00 ( 74.70)	Acc@5 100.00 ( 90.00)
Test: [ 1099/30000]	Time  0.350 ( 0.342)	Acc@1   0.00 ( 74.91)	Acc@5 100.00 ( 89.55)
Test: [ 1199/30000]	Time  0.341 ( 0.343)	Acc@1 100.00 ( 74.92)	Acc@5 100.00 ( 89.75)
Test: [ 1299/30000]	Time  0.347 ( 0.343)	Acc@1 100.00 ( 75.08)	Acc@5 100.00 ( 89.85)
Test: [ 1399/30000]	Time  0.353 ( 0.343)	Acc@1 100.00 ( 75.21)	Acc@5 100.00 ( 90.21)
Test: [ 1499/30000]	Time  0.368 ( 0.343)	Acc@1 100.00 ( 75.93)	Acc@5 100.00 ( 90.47)
Test: [ 1599/30000]	Time  0.350 ( 0.343)	Acc@1 100.00 ( 76.31)	Acc@5 100.00 ( 90.38)
Test: [ 1699/30000]	Time  0.342 ( 0.343)	Acc@1 100.00 ( 76.71)	Acc@5 100.00 ( 90.53)
Test: [ 1799/30000]	Time  0.346 ( 0.343)	Acc@1 100.00 ( 76.83)	Acc@5 100.00 ( 90.72)
Test: [ 1899/30000]	Time  0.339 ( 0.343)	Acc@1 100.00 ( 76.58)	Acc@5 100.00 ( 90.53)
Test: [ 1999/30000]	Time  0.338 ( 0.343)	Acc@1 100.00 ( 76.05)	Acc@5 100.00 ( 90.30)
Test: [ 2099/30000]	Time  0.340 ( 0.344)	Acc@1 100.00 ( 76.19)	Acc@5 100.00 ( 90.33)
Test: [ 2199/30000]	Time  0.338 ( 0.344)	Acc@1 100.00 ( 76.00)	Acc@5 100.00 ( 90.18)
