📄 Logging to: output/R/RN50/log_20251117_174055.txt
Use GPU: 7 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone RN50
=> Using native Torch AMP. Training in mixed precision.
evaluating: R
number of test samples: 30000
Test: [   99/30000]	Time  0.277 ( 0.291)	Acc@1   0.00 ( 65.00)	Acc@5   0.00 ( 83.00)
Test: [  199/30000]	Time  0.283 ( 0.286)	Acc@1 100.00 ( 64.50)	Acc@5 100.00 ( 84.00)
Test: [  299/30000]	Time  0.281 ( 0.285)	Acc@1 100.00 ( 64.00)	Acc@5 100.00 ( 84.67)
Test: [  399/30000]	Time  0.293 ( 0.286)	Acc@1 100.00 ( 64.50)	Acc@5 100.00 ( 84.25)
Test: [  499/30000]	Time  0.284 ( 0.286)	Acc@1 100.00 ( 63.60)	Acc@5 100.00 ( 82.80)
Test: [  599/30000]	Time  0.300 ( 0.288)	Acc@1   0.00 ( 63.67)	Acc@5 100.00 ( 81.83)
Test: [  699/30000]	Time  0.288 ( 0.289)	Acc@1 100.00 ( 62.57)	Acc@5 100.00 ( 81.71)
Test: [  799/30000]	Time  0.287 ( 0.289)	Acc@1 100.00 ( 62.12)	Acc@5 100.00 ( 81.62)
Test: [  899/30000]	Time  0.303 ( 0.289)	Acc@1 100.00 ( 61.33)	Acc@5 100.00 ( 81.78)
Test: [  999/30000]	Time  0.296 ( 0.289)	Acc@1 100.00 ( 61.50)	Acc@5 100.00 ( 81.70)
Test: [ 1099/30000]	Time  0.289 ( 0.290)	Acc@1   0.00 ( 61.36)	Acc@5   0.00 ( 81.27)
Test: [ 1199/30000]	Time  0.286 ( 0.290)	Acc@1 100.00 ( 61.25)	Acc@5 100.00 ( 81.42)
Test: [ 1299/30000]	Time  0.292 ( 0.290)	Acc@1   0.00 ( 61.15)	Acc@5 100.00 ( 81.62)
Test: [ 1399/30000]	Time  0.293 ( 0.290)	Acc@1 100.00 ( 61.07)	Acc@5 100.00 ( 81.79)
Test: [ 1499/30000]	Time  0.290 ( 0.290)	Acc@1   0.00 ( 61.60)	Acc@5   0.00 ( 81.93)
