📄 Logging to: output/R/RN50_5e-3/log_20251117_174121.txt
Use GPU: 5 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone RN50
=> Using native Torch AMP. Training in mixed precision.
evaluating: R
number of test samples: 30000
Test: [   99/30000]	Time  0.275 ( 0.286)	Acc@1   0.00 ( 64.00)	Acc@5 100.00 ( 85.00)
Test: [  199/30000]	Time  0.271 ( 0.281)	Acc@1 100.00 ( 64.50)	Acc@5 100.00 ( 86.00)
Test: [  299/30000]	Time  0.280 ( 0.280)	Acc@1 100.00 ( 64.33)	Acc@5 100.00 ( 85.67)
Test: [  399/30000]	Time  0.280 ( 0.280)	Acc@1 100.00 ( 64.25)	Acc@5 100.00 ( 84.50)
Test: [  499/30000]	Time  0.283 ( 0.281)	Acc@1 100.00 ( 63.20)	Acc@5 100.00 ( 82.60)
Test: [  599/30000]	Time  0.281 ( 0.281)	Acc@1   0.00 ( 63.33)	Acc@5 100.00 ( 81.50)
Test: [  699/30000]	Time  0.283 ( 0.281)	Acc@1 100.00 ( 62.00)	Acc@5 100.00 ( 81.43)
Test: [  799/30000]	Time  0.283 ( 0.281)	Acc@1 100.00 ( 61.62)	Acc@5 100.00 ( 81.12)
Test: [  899/30000]	Time  0.283 ( 0.281)	Acc@1 100.00 ( 60.89)	Acc@5 100.00 ( 81.00)
Test: [  999/30000]	Time  0.279 ( 0.281)	Acc@1 100.00 ( 61.10)	Acc@5 100.00 ( 81.40)
Test: [ 1099/30000]	Time  0.285 ( 0.282)	Acc@1   0.00 ( 61.00)	Acc@5   0.00 ( 81.00)
Test: [ 1199/30000]	Time  0.284 ( 0.282)	Acc@1 100.00 ( 60.92)	Acc@5 100.00 ( 81.25)
Test: [ 1299/30000]	Time  0.281 ( 0.282)	Acc@1   0.00 ( 61.00)	Acc@5 100.00 ( 81.38)
Test: [ 1399/30000]	Time  0.280 ( 0.282)	Acc@1 100.00 ( 61.00)	Acc@5 100.00 ( 81.64)
Test: [ 1499/30000]	Time  0.284 ( 0.282)	Acc@1   0.00 ( 61.53)	Acc@5   0.00 ( 81.80)
Test: [ 1599/30000]	Time  0.281 ( 0.282)	Acc@1   0.00 ( 61.06)	Acc@5 100.00 ( 81.56)
Test: [ 1699/30000]	Time  0.281 ( 0.282)	Acc@1 100.00 ( 61.76)	Acc@5 100.00 ( 81.53)
Test: [ 1799/30000]	Time  0.285 ( 0.282)	Acc@1   0.00 ( 61.61)	Acc@5 100.00 ( 81.28)
Test: [ 1899/30000]	Time  0.284 ( 0.282)	Acc@1   0.00 ( 61.42)	Acc@5 100.00 ( 81.11)
Test: [ 1999/30000]	Time  0.282 ( 0.282)	Acc@1 100.00 ( 61.60)	Acc@5 100.00 ( 81.30)
Test: [ 2099/30000]	Time  0.286 ( 0.282)	Acc@1 100.00 ( 61.90)	Acc@5 100.00 ( 81.29)
Test: [ 2199/30000]	Time  0.280 ( 0.282)	Acc@1   0.00 ( 61.77)	Acc@5   0.00 ( 81.14)
Test: [ 2299/30000]	Time  0.281 ( 0.282)	Acc@1 100.00 ( 61.61)	Acc@5 100.00 ( 80.87)
Test: [ 2399/30000]	Time  0.284 ( 0.282)	Acc@1   0.00 ( 61.46)	Acc@5   0.00 ( 80.92)
Test: [ 2499/30000]	Time  0.282 ( 0.282)	Acc@1 100.00 ( 61.52)	Acc@5 100.00 ( 80.68)
Test: [ 2599/30000]	Time  0.285 ( 0.282)	Acc@1 100.00 ( 61.38)	Acc@5 100.00 ( 80.50)
Test: [ 2699/30000]	Time  0.283 ( 0.282)	Acc@1 100.00 ( 61.37)	Acc@5 100.00 ( 80.37)
Test: [ 2799/30000]	Time  0.284 ( 0.282)	Acc@1   0.00 ( 61.46)	Acc@5 100.00 ( 80.54)
Test: [ 2899/30000]	Time  0.287 ( 0.282)	Acc@1   0.00 ( 61.93)	Acc@5 100.00 ( 80.86)
Test: [ 2999/30000]	Time  0.280 ( 0.282)	Acc@1 100.00 ( 61.70)	Acc@5 100.00 ( 80.63)
Test: [ 3099/30000]	Time  0.277 ( 0.282)	Acc@1 100.00 ( 61.74)	Acc@5 100.00 ( 80.68)
Test: [ 3199/30000]	Time  0.283 ( 0.282)	Acc@1   0.00 ( 61.69)	Acc@5 100.00 ( 80.66)
Test: [ 3299/30000]	Time  0.285 ( 0.282)	Acc@1   0.00 ( 61.91)	Acc@5 100.00 ( 80.88)
Test: [ 3399/30000]	Time  0.281 ( 0.282)	Acc@1   0.00 ( 61.97)	Acc@5 100.00 ( 80.85)
Test: [ 3499/30000]	Time  0.287 ( 0.283)	Acc@1 100.00 ( 61.83)	Acc@5 100.00 ( 80.74)
Test: [ 3599/30000]	Time  0.284 ( 0.283)	Acc@1 100.00 ( 61.69)	Acc@5 100.00 ( 80.53)
Test: [ 3699/30000]	Time  0.283 ( 0.283)	Acc@1 100.00 ( 61.73)	Acc@5 100.00 ( 80.49)
Test: [ 3799/30000]	Time  0.286 ( 0.283)	Acc@1   0.00 ( 61.87)	Acc@5 100.00 ( 80.63)
Test: [ 3899/30000]	Time  0.293 ( 0.283)	Acc@1 100.00 ( 61.82)	Acc@5 100.00 ( 80.56)
Test: [ 3999/30000]	Time  0.281 ( 0.283)	Acc@1   0.00 ( 61.85)	Acc@5   0.00 ( 80.55)
Test: [ 4099/30000]	Time  0.281 ( 0.283)	Acc@1 100.00 ( 61.90)	Acc@5 100.00 ( 80.63)
Test: [ 4199/30000]	Time  0.281 ( 0.283)	Acc@1   0.00 ( 62.00)	Acc@5   0.00 ( 80.57)
Test: [ 4299/30000]	Time  0.283 ( 0.283)	Acc@1 100.00 ( 62.00)	Acc@5 100.00 ( 80.56)
Test: [ 4399/30000]	Time  0.282 ( 0.283)	Acc@1 100.00 ( 62.07)	Acc@5 100.00 ( 80.68)
Test: [ 4499/30000]	Time  0.285 ( 0.283)	Acc@1   0.00 ( 62.16)	Acc@5 100.00 ( 80.64)
Test: [ 4599/30000]	Time  0.285 ( 0.283)	Acc@1   0.00 ( 62.07)	Acc@5   0.00 ( 80.57)
Test: [ 4699/30000]	Time  0.284 ( 0.283)	Acc@1   0.00 ( 62.11)	Acc@5 100.00 ( 80.66)
Test: [ 4799/30000]	Time  0.282 ( 0.283)	Acc@1   0.00 ( 62.15)	Acc@5 100.00 ( 80.75)
Test: [ 4899/30000]	Time  0.284 ( 0.283)	Acc@1 100.00 ( 62.22)	Acc@5 100.00 ( 80.71)
Test: [ 4999/30000]	Time  0.281 ( 0.283)	Acc@1 100.00 ( 62.20)	Acc@5 100.00 ( 80.78)
Test: [ 5099/30000]	Time  0.284 ( 0.283)	Acc@1 100.00 ( 62.33)	Acc@5 100.00 ( 80.82)
Test: [ 5199/30000]	Time  0.281 ( 0.283)	Acc@1 100.00 ( 62.13)	Acc@5 100.00 ( 80.69)
Test: [ 5299/30000]	Time  0.281 ( 0.283)	Acc@1 100.00 ( 62.17)	Acc@5 100.00 ( 80.72)
Test: [ 5399/30000]	Time  0.284 ( 0.283)	Acc@1 100.00 ( 62.13)	Acc@5 100.00 ( 80.76)
Test: [ 5499/30000]	Time  0.285 ( 0.283)	Acc@1   0.00 ( 62.09)	Acc@5 100.00 ( 80.76)
Test: [ 5599/30000]	Time  0.283 ( 0.283)	Acc@1 100.00 ( 62.25)	Acc@5 100.00 ( 80.79)
Test: [ 5699/30000]	Time  0.282 ( 0.283)	Acc@1   0.00 ( 62.21)	Acc@5   0.00 ( 80.81)
Test: [ 5799/30000]	Time  0.285 ( 0.283)	Acc@1 100.00 ( 62.16)	Acc@5 100.00 ( 80.76)
Test: [ 5899/30000]	Time  0.280 ( 0.283)	Acc@1   0.00 ( 62.12)	Acc@5   0.00 ( 80.71)
Test: [ 5999/30000]	Time  0.283 ( 0.283)	Acc@1 100.00 ( 62.13)	Acc@5 100.00 ( 80.78)
Test: [ 6099/30000]	Time  0.283 ( 0.283)	Acc@1 100.00 ( 61.97)	Acc@5 100.00 ( 80.64)
Test: [ 6199/30000]	Time  0.282 ( 0.283)	Acc@1   0.00 ( 61.87)	Acc@5   0.00 ( 80.58)
Test: [ 6299/30000]	Time  0.286 ( 0.283)	Acc@1   0.00 ( 61.81)	Acc@5   0.00 ( 80.56)
Test: [ 6399/30000]	Time  0.285 ( 0.283)	Acc@1 100.00 ( 61.80)	Acc@5 100.00 ( 80.53)
Test: [ 6499/30000]	Time  0.279 ( 0.283)	Acc@1   0.00 ( 61.86)	Acc@5 100.00 ( 80.62)
Test: [ 6599/30000]	Time  0.276 ( 0.283)	Acc@1 100.00 ( 61.79)	Acc@5 100.00 ( 80.71)
Test: [ 6699/30000]	Time  0.282 ( 0.283)	Acc@1   0.00 ( 61.84)	Acc@5 100.00 ( 80.78)
Test: [ 6799/30000]	Time  0.282 ( 0.283)	Acc@1   0.00 ( 61.82)	Acc@5   0.00 ( 80.69)
Test: [ 6899/30000]	Time  0.283 ( 0.283)	Acc@1   0.00 ( 61.88)	Acc@5   0.00 ( 80.67)
Test: [ 6999/30000]	Time  0.284 ( 0.283)	Acc@1 100.00 ( 61.80)	Acc@5 100.00 ( 80.66)
Test: [ 7099/30000]	Time  0.279 ( 0.283)	Acc@1 100.00 ( 61.82)	Acc@5 100.00 ( 80.62)
Test: [ 7199/30000]	Time  0.282 ( 0.283)	Acc@1 100.00 ( 61.83)	Acc@5 100.00 ( 80.69)
Test: [ 7299/30000]	Time  0.280 ( 0.283)	Acc@1 100.00 ( 61.82)	Acc@5 100.00 ( 80.79)
Test: [ 7399/30000]	Time  0.290 ( 0.283)	Acc@1 100.00 ( 61.80)	Acc@5 100.00 ( 80.72)
Test: [ 7499/30000]	Time  0.279 ( 0.283)	Acc@1 100.00 ( 61.88)	Acc@5 100.00 ( 80.75)
Test: [ 7599/30000]	Time  0.282 ( 0.283)	Acc@1 100.00 ( 61.87)	Acc@5 100.00 ( 80.72)
