📄 Logging to: output/R/onlyfilt/log_20251112_181908.txt
Use GPU: 5 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: R
number of test samples: 30000
Test: [   99/30000]	Time  0.364 ( 0.365)	Acc@1 100.00 ( 80.00)	Acc@5 100.00 ( 94.00)
Test: [  199/30000]	Time  0.354 ( 0.367)	Acc@1 100.00 ( 80.50)	Acc@5 100.00 ( 93.50)
Test: [  299/30000]	Time  0.364 ( 0.371)	Acc@1 100.00 ( 79.33)	Acc@5 100.00 ( 92.33)
Test: [  399/30000]	Time  0.379 ( 0.372)	Acc@1 100.00 ( 79.00)	Acc@5 100.00 ( 91.75)
Test: [  499/30000]	Time  0.361 ( 0.370)	Acc@1   0.00 ( 78.40)	Acc@5 100.00 ( 91.60)
Test: [  599/30000]	Time  0.385 ( 0.368)	Acc@1 100.00 ( 78.17)	Acc@5 100.00 ( 91.50)
Test: [  699/30000]	Time  0.399 ( 0.372)	Acc@1 100.00 ( 78.43)	Acc@5 100.00 ( 91.29)
Test: [  799/30000]	Time  0.367 ( 0.374)	Acc@1 100.00 ( 78.88)	Acc@5 100.00 ( 91.50)
Test: [  899/30000]	Time  0.398 ( 0.376)	Acc@1 100.00 ( 79.33)	Acc@5 100.00 ( 92.00)
Test: [  999/30000]	Time  0.357 ( 0.377)	Acc@1   0.00 ( 78.80)	Acc@5 100.00 ( 91.50)
Test: [ 1099/30000]	Time  0.354 ( 0.376)	Acc@1 100.00 ( 78.55)	Acc@5 100.00 ( 91.00)
Test: [ 1199/30000]	Time  0.382 ( 0.375)	Acc@1 100.00 ( 78.67)	Acc@5 100.00 ( 91.42)
Test: [ 1299/30000]	Time  0.398 ( 0.377)	Acc@1 100.00 ( 78.54)	Acc@5 100.00 ( 91.54)
Test: [ 1399/30000]	Time  0.429 ( 0.378)	Acc@1 100.00 ( 78.71)	Acc@5 100.00 ( 91.79)
