📄 Logging to: output/A/original/log_20251112_205331.txt
Use GPU: 6 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: R
number of test samples: 30000
Test: [   99/30000]	Time  0.368 ( 0.359)	Acc@1 100.00 ( 82.00)	Acc@5 100.00 ( 95.00)
Test: [  199/30000]	Time  0.353 ( 0.373)	Acc@1 100.00 ( 81.50)	Acc@5 100.00 ( 94.50)
Test: [  299/30000]	Time  0.456 ( 0.376)	Acc@1 100.00 ( 79.33)	Acc@5 100.00 ( 92.67)
Test: [  399/30000]	Time  0.360 ( 0.374)	Acc@1 100.00 ( 78.50)	Acc@5 100.00 ( 92.00)
Test: [  499/30000]	Time  0.376 ( 0.372)	Acc@1   0.00 ( 77.60)	Acc@5   0.00 ( 91.40)
Test: [  599/30000]	Time  0.379 ( 0.376)	Acc@1 100.00 ( 77.17)	Acc@5 100.00 ( 90.83)
Test: [  699/30000]	Time  0.410 ( 0.379)	Acc@1 100.00 ( 77.71)	Acc@5 100.00 ( 90.71)
Test: [  799/30000]	Time  0.384 ( 0.378)	Acc@1 100.00 ( 78.12)	Acc@5 100.00 ( 91.00)
Test: [  899/30000]	Time  0.389 ( 0.378)	Acc@1 100.00 ( 78.78)	Acc@5 100.00 ( 91.56)
Test: [  999/30000]	Time  0.386 ( 0.380)	Acc@1   0.00 ( 78.30)	Acc@5 100.00 ( 91.00)
Test: [ 1099/30000]	Time  0.393 ( 0.380)	Acc@1   0.00 ( 78.09)	Acc@5 100.00 ( 90.55)
Test: [ 1199/30000]	Time  0.389 ( 0.381)	Acc@1 100.00 ( 78.25)	Acc@5 100.00 ( 90.92)
Test: [ 1299/30000]	Time  0.367 ( 0.381)	Acc@1 100.00 ( 78.38)	Acc@5 100.00 ( 91.08)
Test: [ 1399/30000]	Time  0.364 ( 0.381)	Acc@1 100.00 ( 78.71)	Acc@5 100.00 ( 91.36)
Test: [ 1499/30000]	Time  0.456 ( 0.382)	Acc@1 100.00 ( 79.20)	Acc@5 100.00 ( 91.67)
Test: [ 1599/30000]	Time  0.384 ( 0.382)	Acc@1 100.00 ( 79.50)	Acc@5 100.00 ( 91.62)
Test: [ 1699/30000]	Time  0.366 ( 0.383)	Acc@1 100.00 ( 79.53)	Acc@5 100.00 ( 91.71)
Test: [ 1799/30000]	Time  0.384 ( 0.382)	Acc@1 100.00 ( 79.78)	Acc@5 100.00 ( 91.78)
Test: [ 1899/30000]	Time  0.385 ( 0.382)	Acc@1 100.00 ( 79.58)	Acc@5 100.00 ( 91.74)
Test: [ 1999/30000]	Time  0.373 ( 0.382)	Acc@1 100.00 ( 78.95)	Acc@5 100.00 ( 91.65)
Test: [ 2099/30000]	Time  0.402 ( 0.383)	Acc@1 100.00 ( 79.10)	Acc@5 100.00 ( 91.67)
Test: [ 2199/30000]	Time  0.360 ( 0.383)	Acc@1 100.00 ( 79.00)	Acc@5 100.00 ( 91.59)
Test: [ 2299/30000]	Time  0.391 ( 0.384)	Acc@1 100.00 ( 79.09)	Acc@5 100.00 ( 91.57)
Test: [ 2399/30000]	Time  0.381 ( 0.384)	Acc@1 100.00 ( 79.29)	Acc@5 100.00 ( 91.67)
Test: [ 2499/30000]	Time  0.376 ( 0.384)	Acc@1 100.00 ( 79.24)	Acc@5 100.00 ( 91.72)
Test: [ 2599/30000]	Time  0.365 ( 0.384)	Acc@1   0.00 ( 79.35)	Acc@5   0.00 ( 91.85)
Test: [ 2699/30000]	Time  0.390 ( 0.384)	Acc@1 100.00 ( 79.63)	Acc@5 100.00 ( 92.04)
Test: [ 2799/30000]	Time  0.383 ( 0.384)	Acc@1 100.00 ( 79.64)	Acc@5 100.00 ( 92.04)
