📄 Logging to: output/food101/9+3/log_20260123_211448.txt
Use GPU: 6 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: Food101
number of test samples: 30300
Test: [   99/30300]	Time  0.237 ( 0.256)	Acc@1 100.00 ( 83.00)	Acc@5 100.00 ( 94.00)
Test: [  199/30300]	Time  0.242 ( 0.250)	Acc@1 100.00 ( 81.00)	Acc@5 100.00 ( 94.50)
Test: [  299/30300]	Time  0.244 ( 0.249)	Acc@1   0.00 ( 81.67)	Acc@5 100.00 ( 95.00)
Test: [  399/30300]	Time  0.275 ( 0.248)	Acc@1 100.00 ( 82.50)	Acc@5 100.00 ( 96.00)
Test: [  499/30300]	Time  0.244 ( 0.250)	Acc@1 100.00 ( 83.40)	Acc@5 100.00 ( 96.00)
Test: [  599/30300]	Time  0.243 ( 0.250)	Acc@1 100.00 ( 82.17)	Acc@5 100.00 ( 95.50)
Test: [  699/30300]	Time  0.244 ( 0.249)	Acc@1 100.00 ( 83.14)	Acc@5 100.00 ( 95.57)
Test: [  799/30300]	Time  0.241 ( 0.249)	Acc@1 100.00 ( 84.12)	Acc@5 100.00 ( 95.62)
Test: [  899/30300]	Time  0.248 ( 0.249)	Acc@1 100.00 ( 84.44)	Acc@5 100.00 ( 95.78)
Test: [  999/30300]	Time  0.243 ( 0.249)	Acc@1 100.00 ( 84.50)	Acc@5 100.00 ( 95.70)
Test: [ 1099/30300]	Time  0.250 ( 0.249)	Acc@1 100.00 ( 85.27)	Acc@5 100.00 ( 95.73)
Test: [ 1199/30300]	Time  0.252 ( 0.249)	Acc@1 100.00 ( 85.42)	Acc@5 100.00 ( 96.00)
Test: [ 1299/30300]	Time  0.256 ( 0.249)	Acc@1   0.00 ( 85.54)	Acc@5 100.00 ( 96.15)
Test: [ 1399/30300]	Time  0.247 ( 0.249)	Acc@1 100.00 ( 85.64)	Acc@5 100.00 ( 96.29)
Test: [ 1499/30300]	Time  0.294 ( 0.249)	Acc@1 100.00 ( 85.53)	Acc@5 100.00 ( 96.13)
Test: [ 1599/30300]	Time  0.250 ( 0.250)	Acc@1 100.00 ( 85.69)	Acc@5 100.00 ( 96.19)
Test: [ 1699/30300]	Time  0.249 ( 0.250)	Acc@1 100.00 ( 85.65)	Acc@5 100.00 ( 96.12)
Test: [ 1799/30300]	Time  0.259 ( 0.250)	Acc@1 100.00 ( 85.78)	Acc@5 100.00 ( 96.22)
Test: [ 1899/30300]	Time  0.246 ( 0.250)	Acc@1 100.00 ( 86.00)	Acc@5 100.00 ( 96.32)
Test: [ 1999/30300]	Time  0.252 ( 0.250)	Acc@1 100.00 ( 85.95)	Acc@5 100.00 ( 96.45)
Test: [ 2099/30300]	Time  0.250 ( 0.250)	Acc@1 100.00 ( 85.67)	Acc@5 100.00 ( 96.33)
Test: [ 2199/30300]	Time  0.237 ( 0.250)	Acc@1 100.00 ( 85.50)	Acc@5 100.00 ( 96.41)
Test: [ 2299/30300]	Time  0.244 ( 0.250)	Acc@1 100.00 ( 85.30)	Acc@5 100.00 ( 96.26)
Test: [ 2399/30300]	Time  0.258 ( 0.250)	Acc@1 100.00 ( 85.38)	Acc@5 100.00 ( 96.33)
Test: [ 2499/30300]	Time  0.251 ( 0.250)	Acc@1 100.00 ( 85.60)	Acc@5 100.00 ( 96.40)
Test: [ 2599/30300]	Time  0.247 ( 0.251)	Acc@1 100.00 ( 85.77)	Acc@5 100.00 ( 96.46)
Test: [ 2699/30300]	Time  0.251 ( 0.251)	Acc@1 100.00 ( 85.67)	Acc@5 100.00 ( 96.52)
Test: [ 2799/30300]	Time  0.259 ( 0.251)	Acc@1   0.00 ( 85.50)	Acc@5 100.00 ( 96.50)
Test: [ 2899/30300]	Time  0.269 ( 0.251)	Acc@1 100.00 ( 85.55)	Acc@5 100.00 ( 96.48)
Test: [ 2999/30300]	Time  0.255 ( 0.251)	Acc@1 100.00 ( 85.53)	Acc@5 100.00 ( 96.50)
Test: [ 3099/30300]	Time  0.257 ( 0.251)	Acc@1 100.00 ( 85.58)	Acc@5 100.00 ( 96.55)
Test: [ 3199/30300]	Time  0.255 ( 0.251)	Acc@1 100.00 ( 85.62)	Acc@5 100.00 ( 96.53)
Test: [ 3299/30300]	Time  0.255 ( 0.251)	Acc@1 100.00 ( 85.61)	Acc@5 100.00 ( 96.48)
Test: [ 3399/30300]	Time  0.248 ( 0.251)	Acc@1 100.00 ( 85.65)	Acc@5 100.00 ( 96.44)
Test: [ 3499/30300]	Time  0.248 ( 0.251)	Acc@1 100.00 ( 85.66)	Acc@5 100.00 ( 96.43)
Test: [ 3599/30300]	Time  0.250 ( 0.251)	Acc@1 100.00 ( 85.69)	Acc@5 100.00 ( 96.42)
Test: [ 3699/30300]	Time  0.245 ( 0.251)	Acc@1 100.00 ( 85.78)	Acc@5 100.00 ( 96.46)
Test: [ 3799/30300]	Time  0.243 ( 0.250)	Acc@1 100.00 ( 85.82)	Acc@5 100.00 ( 96.53)
Test: [ 3899/30300]	Time  0.241 ( 0.250)	Acc@1 100.00 ( 85.79)	Acc@5 100.00 ( 96.56)
Test: [ 3999/30300]	Time  0.241 ( 0.250)	Acc@1 100.00 ( 85.63)	Acc@5 100.00 ( 96.48)
Test: [ 4099/30300]	Time  0.252 ( 0.250)	Acc@1 100.00 ( 85.44)	Acc@5 100.00 ( 96.41)
Test: [ 4199/30300]	Time  0.246 ( 0.250)	Acc@1 100.00 ( 85.33)	Acc@5 100.00 ( 96.31)
Test: [ 4299/30300]	Time  0.254 ( 0.250)	Acc@1 100.00 ( 85.40)	Acc@5 100.00 ( 96.35)
Test: [ 4399/30300]	Time  0.253 ( 0.250)	Acc@1 100.00 ( 85.41)	Acc@5 100.00 ( 96.34)
Test: [ 4499/30300]	Time  0.260 ( 0.250)	Acc@1 100.00 ( 85.40)	Acc@5 100.00 ( 96.27)
Test: [ 4599/30300]	Time  0.273 ( 0.250)	Acc@1 100.00 ( 85.30)	Acc@5 100.00 ( 96.11)
Test: [ 4699/30300]	Time  0.265 ( 0.251)	Acc@1 100.00 ( 85.36)	Acc@5 100.00 ( 96.11)
Test: [ 4799/30300]	Time  0.262 ( 0.251)	Acc@1 100.00 ( 85.46)	Acc@5 100.00 ( 96.12)
Test: [ 4899/30300]	Time  0.293 ( 0.252)	Acc@1 100.00 ( 85.49)	Acc@5 100.00 ( 96.10)
Test: [ 4999/30300]	Time  0.252 ( 0.252)	Acc@1 100.00 ( 85.42)	Acc@5 100.00 ( 96.06)
Test: [ 5099/30300]	Time  0.242 ( 0.252)	Acc@1 100.00 ( 85.51)	Acc@5 100.00 ( 96.06)
Test: [ 5199/30300]	Time  0.261 ( 0.252)	Acc@1 100.00 ( 85.60)	Acc@5 100.00 ( 96.04)
Test: [ 5299/30300]	Time  0.270 ( 0.252)	Acc@1 100.00 ( 85.64)	Acc@5 100.00 ( 96.00)
Test: [ 5399/30300]	Time  0.254 ( 0.252)	Acc@1 100.00 ( 85.70)	Acc@5 100.00 ( 96.00)
Test: [ 5499/30300]	Time  0.256 ( 0.252)	Acc@1 100.00 ( 85.76)	Acc@5 100.00 ( 96.00)
Test: [ 5599/30300]	Time  0.246 ( 0.252)	Acc@1   0.00 ( 85.79)	Acc@5   0.00 ( 95.96)
Test: [ 5699/30300]	Time  0.260 ( 0.252)	Acc@1 100.00 ( 85.74)	Acc@5 100.00 ( 95.96)
Test: [ 5799/30300]	Time  0.245 ( 0.252)	Acc@1 100.00 ( 85.78)	Acc@5 100.00 ( 96.02)
Test: [ 5899/30300]	Time  0.243 ( 0.252)	Acc@1 100.00 ( 85.83)	Acc@5 100.00 ( 96.07)
Test: [ 5999/30300]	Time  0.252 ( 0.252)	Acc@1   0.00 ( 85.83)	Acc@5 100.00 ( 96.07)
Test: [ 6099/30300]	Time  0.245 ( 0.252)	Acc@1 100.00 ( 85.93)	Acc@5 100.00 ( 96.10)
Test: [ 6199/30300]	Time  0.255 ( 0.252)	Acc@1   0.00 ( 85.92)	Acc@5   0.00 ( 96.08)
Test: [ 6299/30300]	Time  0.245 ( 0.252)	Acc@1   0.00 ( 85.73)	Acc@5 100.00 ( 96.00)
Test: [ 6399/30300]	Time  0.267 ( 0.252)	Acc@1 100.00 ( 85.66)	Acc@5 100.00 ( 95.95)
Test: [ 6499/30300]	Time  0.254 ( 0.252)	Acc@1 100.00 ( 85.60)	Acc@5 100.00 ( 95.97)
Test: [ 6599/30300]	Time  0.264 ( 0.252)	Acc@1 100.00 ( 85.59)	Acc@5 100.00 ( 95.95)
Test: [ 6699/30300]	Time  0.254 ( 0.252)	Acc@1 100.00 ( 85.49)	Acc@5 100.00 ( 95.93)
Test: [ 6799/30300]	Time  0.249 ( 0.252)	Acc@1 100.00 ( 85.41)	Acc@5 100.00 ( 95.93)
