📄 Logging to: output/food101/handcrafted/log_20260122_170619.txt
Use GPU: 5 for training
Initializing the contect with given words: [texture]
Initial context: "texture"
Number of context words (tokens): 1
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: Food101
number of test samples: 30300
Test: [   99/30300]	Time  0.233 ( 0.262)	Acc@1 100.00 ( 83.00)	Acc@5 100.00 ( 92.00)
Test: [  199/30300]	Time  0.247 ( 0.260)	Acc@1 100.00 ( 80.00)	Acc@5 100.00 ( 93.00)
Test: [  299/30300]	Time  0.240 ( 0.254)	Acc@1   0.00 ( 82.00)	Acc@5 100.00 ( 93.33)
Test: [  399/30300]	Time  0.244 ( 0.251)	Acc@1 100.00 ( 82.75)	Acc@5 100.00 ( 94.75)
Test: [  499/30300]	Time  0.241 ( 0.250)	Acc@1 100.00 ( 83.80)	Acc@5 100.00 ( 95.00)
Test: [  599/30300]	Time  0.257 ( 0.249)	Acc@1 100.00 ( 82.17)	Acc@5 100.00 ( 94.83)
Test: [  699/30300]	Time  0.233 ( 0.249)	Acc@1 100.00 ( 83.14)	Acc@5 100.00 ( 95.29)
Test: [  799/30300]	Time  0.239 ( 0.248)	Acc@1 100.00 ( 83.88)	Acc@5 100.00 ( 95.50)
Test: [  899/30300]	Time  0.248 ( 0.248)	Acc@1 100.00 ( 84.22)	Acc@5 100.00 ( 95.78)
Test: [  999/30300]	Time  0.252 ( 0.248)	Acc@1 100.00 ( 84.20)	Acc@5 100.00 ( 95.50)
Test: [ 1099/30300]	Time  0.237 ( 0.247)	Acc@1 100.00 ( 84.82)	Acc@5 100.00 ( 95.55)
Test: [ 1199/30300]	Time  0.236 ( 0.247)	Acc@1 100.00 ( 84.92)	Acc@5 100.00 ( 95.75)
Test: [ 1299/30300]	Time  0.246 ( 0.247)	Acc@1   0.00 ( 85.23)	Acc@5 100.00 ( 95.77)
Test: [ 1399/30300]	Time  0.241 ( 0.247)	Acc@1 100.00 ( 85.21)	Acc@5 100.00 ( 95.71)
Test: [ 1499/30300]	Time  0.259 ( 0.247)	Acc@1 100.00 ( 85.13)	Acc@5 100.00 ( 95.60)
Test: [ 1599/30300]	Time  0.244 ( 0.247)	Acc@1 100.00 ( 85.25)	Acc@5 100.00 ( 95.75)
Test: [ 1699/30300]	Time  0.259 ( 0.247)	Acc@1 100.00 ( 85.18)	Acc@5 100.00 ( 95.71)
Test: [ 1799/30300]	Time  0.251 ( 0.247)	Acc@1 100.00 ( 85.44)	Acc@5 100.00 ( 95.83)
Test: [ 1899/30300]	Time  0.250 ( 0.247)	Acc@1 100.00 ( 85.74)	Acc@5 100.00 ( 96.00)
Test: [ 1999/30300]	Time  0.246 ( 0.247)	Acc@1 100.00 ( 85.55)	Acc@5 100.00 ( 96.00)
Test: [ 2099/30300]	Time  0.252 ( 0.247)	Acc@1 100.00 ( 85.14)	Acc@5 100.00 ( 95.95)
Test: [ 2199/30300]	Time  0.253 ( 0.247)	Acc@1 100.00 ( 84.95)	Acc@5 100.00 ( 95.91)
Test: [ 2299/30300]	Time  0.239 ( 0.247)	Acc@1 100.00 ( 84.78)	Acc@5 100.00 ( 95.87)
Test: [ 2399/30300]	Time  0.246 ( 0.247)	Acc@1 100.00 ( 84.88)	Acc@5 100.00 ( 96.00)
Test: [ 2499/30300]	Time  0.244 ( 0.247)	Acc@1 100.00 ( 85.16)	Acc@5 100.00 ( 96.08)
Test: [ 2599/30300]	Time  0.244 ( 0.247)	Acc@1 100.00 ( 85.27)	Acc@5 100.00 ( 96.15)
Test: [ 2699/30300]	Time  0.249 ( 0.246)	Acc@1 100.00 ( 85.15)	Acc@5 100.00 ( 96.07)
Test: [ 2799/30300]	Time  0.236 ( 0.246)	Acc@1   0.00 ( 85.04)	Acc@5 100.00 ( 96.14)
Test: [ 2899/30300]	Time  0.238 ( 0.246)	Acc@1 100.00 ( 84.97)	Acc@5 100.00 ( 96.14)
Test: [ 2999/30300]	Time  0.237 ( 0.246)	Acc@1 100.00 ( 85.00)	Acc@5 100.00 ( 96.10)
Test: [ 3099/30300]	Time  0.236 ( 0.245)	Acc@1 100.00 ( 85.10)	Acc@5 100.00 ( 96.13)
Test: [ 3199/30300]	Time  0.240 ( 0.245)	Acc@1 100.00 ( 85.16)	Acc@5 100.00 ( 96.12)
Test: [ 3299/30300]	Time  0.231 ( 0.245)	Acc@1 100.00 ( 85.12)	Acc@5 100.00 ( 96.09)
Test: [ 3399/30300]	Time  0.239 ( 0.245)	Acc@1 100.00 ( 85.12)	Acc@5 100.00 ( 96.09)
Test: [ 3499/30300]	Time  0.242 ( 0.245)	Acc@1 100.00 ( 85.14)	Acc@5 100.00 ( 96.09)
Test: [ 3599/30300]	Time  0.237 ( 0.245)	Acc@1 100.00 ( 85.22)	Acc@5 100.00 ( 96.14)
Test: [ 3699/30300]	Time  0.237 ( 0.244)	Acc@1 100.00 ( 85.32)	Acc@5 100.00 ( 96.22)
Test: [ 3799/30300]	Time  0.253 ( 0.244)	Acc@1 100.00 ( 85.37)	Acc@5 100.00 ( 96.29)
Test: [ 3899/30300]	Time  0.237 ( 0.244)	Acc@1 100.00 ( 85.31)	Acc@5 100.00 ( 96.31)
Test: [ 3999/30300]	Time  0.238 ( 0.244)	Acc@1 100.00 ( 85.13)	Acc@5 100.00 ( 96.20)
Test: [ 4099/30300]	Time  0.237 ( 0.244)	Acc@1 100.00 ( 85.05)	Acc@5 100.00 ( 96.20)
Test: [ 4199/30300]	Time  0.230 ( 0.244)	Acc@1 100.00 ( 84.95)	Acc@5 100.00 ( 96.14)
Test: [ 4299/30300]	Time  0.235 ( 0.243)	Acc@1 100.00 ( 85.02)	Acc@5 100.00 ( 96.19)
Test: [ 4399/30300]	Time  0.235 ( 0.243)	Acc@1 100.00 ( 85.02)	Acc@5 100.00 ( 96.16)
Test: [ 4499/30300]	Time  0.233 ( 0.243)	Acc@1 100.00 ( 85.02)	Acc@5 100.00 ( 96.07)
Test: [ 4599/30300]	Time  0.234 ( 0.243)	Acc@1 100.00 ( 84.91)	Acc@5 100.00 ( 95.91)
Test: [ 4699/30300]	Time  0.242 ( 0.243)	Acc@1 100.00 ( 84.96)	Acc@5 100.00 ( 95.94)
Test: [ 4799/30300]	Time  0.236 ( 0.243)	Acc@1 100.00 ( 85.06)	Acc@5 100.00 ( 95.94)
Test: [ 4899/30300]	Time  0.240 ( 0.243)	Acc@1 100.00 ( 85.08)	Acc@5 100.00 ( 95.94)
Test: [ 4999/30300]	Time  0.235 ( 0.242)	Acc@1 100.00 ( 84.98)	Acc@5 100.00 ( 95.88)
Test: [ 5099/30300]	Time  0.235 ( 0.242)	Acc@1 100.00 ( 85.12)	Acc@5 100.00 ( 95.88)
Test: [ 5199/30300]	Time  0.236 ( 0.242)	Acc@1 100.00 ( 85.19)	Acc@5 100.00 ( 95.87)
Test: [ 5299/30300]	Time  0.237 ( 0.242)	Acc@1 100.00 ( 85.21)	Acc@5 100.00 ( 95.85)
Test: [ 5399/30300]	Time  0.229 ( 0.242)	Acc@1 100.00 ( 85.28)	Acc@5 100.00 ( 95.85)
Test: [ 5499/30300]	Time  0.236 ( 0.242)	Acc@1 100.00 ( 85.33)	Acc@5 100.00 ( 95.84)
Test: [ 5599/30300]	Time  0.238 ( 0.242)	Acc@1   0.00 ( 85.34)	Acc@5 100.00 ( 95.82)
Test: [ 5699/30300]	Time  0.237 ( 0.242)	Acc@1   0.00 ( 85.25)	Acc@5 100.00 ( 95.84)
Test: [ 5799/30300]	Time  0.233 ( 0.242)	Acc@1 100.00 ( 85.29)	Acc@5 100.00 ( 95.88)
Test: [ 5899/30300]	Time  0.234 ( 0.242)	Acc@1 100.00 ( 85.31)	Acc@5 100.00 ( 95.93)
Test: [ 5999/30300]	Time  0.235 ( 0.241)	Acc@1   0.00 ( 85.28)	Acc@5 100.00 ( 95.90)
Test: [ 6099/30300]	Time  0.238 ( 0.241)	Acc@1 100.00 ( 85.41)	Acc@5 100.00 ( 95.95)
Test: [ 6199/30300]	Time  0.235 ( 0.241)	Acc@1   0.00 ( 85.35)	Acc@5   0.00 ( 95.94)
Test: [ 6299/30300]	Time  0.237 ( 0.241)	Acc@1   0.00 ( 85.17)	Acc@5 100.00 ( 95.86)
Test: [ 6399/30300]	Time  0.237 ( 0.241)	Acc@1 100.00 ( 85.12)	Acc@5 100.00 ( 95.81)
Test: [ 6499/30300]	Time  0.234 ( 0.241)	Acc@1 100.00 ( 85.14)	Acc@5 100.00 ( 95.85)
Test: [ 6599/30300]	Time  0.235 ( 0.241)	Acc@1 100.00 ( 85.09)	Acc@5 100.00 ( 95.80)
Test: [ 6699/30300]	Time  0.234 ( 0.241)	Acc@1 100.00 ( 85.06)	Acc@5 100.00 ( 95.78)
Test: [ 6799/30300]	Time  0.236 ( 0.241)	Acc@1 100.00 ( 85.01)	Acc@5 100.00 ( 95.78)
Test: [ 6899/30300]	Time  0.237 ( 0.241)	Acc@1   0.00 ( 84.99)	Acc@5 100.00 ( 95.78)
Test: [ 6999/30300]	Time  0.236 ( 0.241)	Acc@1 100.00 ( 84.97)	Acc@5 100.00 ( 95.81)
Test: [ 7099/30300]	Time  0.233 ( 0.241)	Acc@1 100.00 ( 85.00)	Acc@5 100.00 ( 95.83)
Test: [ 7199/30300]	Time  0.235 ( 0.241)	Acc@1 100.00 ( 84.96)	Acc@5 100.00 ( 95.78)
Test: [ 7299/30300]	Time  0.238 ( 0.240)	Acc@1 100.00 ( 84.97)	Acc@5 100.00 ( 95.77)
Test: [ 7399/30300]	Time  0.235 ( 0.240)	Acc@1 100.00 ( 84.99)	Acc@5 100.00 ( 95.76)
Test: [ 7499/30300]	Time  0.235 ( 0.240)	Acc@1 100.00 ( 85.00)	Acc@5 100.00 ( 95.80)
Test: [ 7599/30300]	Time  0.237 ( 0.240)	Acc@1 100.00 ( 85.03)	Acc@5 100.00 ( 95.82)
Test: [ 7699/30300]	Time  0.233 ( 0.240)	Acc@1 100.00 ( 84.99)	Acc@5 100.00 ( 95.83)
Test: [ 7799/30300]	Time  0.231 ( 0.240)	Acc@1 100.00 ( 84.96)	Acc@5 100.00 ( 95.85)
Test: [ 7899/30300]	Time  0.238 ( 0.240)	Acc@1 100.00 ( 85.00)	Acc@5 100.00 ( 95.87)
Test: [ 7999/30300]	Time  0.233 ( 0.240)	Acc@1 100.00 ( 85.08)	Acc@5 100.00 ( 95.93)
Test: [ 8099/30300]	Time  0.233 ( 0.240)	Acc@1 100.00 ( 85.12)	Acc@5 100.00 ( 95.95)
Test: [ 8199/30300]	Time  0.233 ( 0.240)	Acc@1 100.00 ( 85.20)	Acc@5 100.00 ( 95.99)
Test: [ 8299/30300]	Time  0.244 ( 0.240)	Acc@1 100.00 ( 85.18)	Acc@5 100.00 ( 95.96)
Test: [ 8399/30300]	Time  0.238 ( 0.240)	Acc@1 100.00 ( 85.10)	Acc@5 100.00 ( 95.90)
Test: [ 8499/30300]	Time  0.239 ( 0.240)	Acc@1 100.00 ( 85.13)	Acc@5 100.00 ( 95.92)
Test: [ 8599/30300]	Time  0.235 ( 0.240)	Acc@1 100.00 ( 85.15)	Acc@5 100.00 ( 95.94)
Test: [ 8699/30300]	Time  0.233 ( 0.240)	Acc@1 100.00 ( 85.01)	Acc@5 100.00 ( 95.85)
Test: [ 8799/30300]	Time  0.233 ( 0.240)	Acc@1 100.00 ( 85.07)	Acc@5 100.00 ( 95.84)
Test: [ 8899/30300]	Time  0.239 ( 0.240)	Acc@1   0.00 ( 85.07)	Acc@5 100.00 ( 95.84)
Test: [ 8999/30300]	Time  0.239 ( 0.240)	Acc@1   0.00 ( 85.09)	Acc@5   0.00 ( 95.86)
Test: [ 9099/30300]	Time  0.241 ( 0.240)	Acc@1 100.00 ( 85.00)	Acc@5 100.00 ( 95.84)
Test: [ 9199/30300]	Time  0.251 ( 0.240)	Acc@1 100.00 ( 85.01)	Acc@5 100.00 ( 95.83)
Test: [ 9299/30300]	Time  0.243 ( 0.240)	Acc@1 100.00 ( 85.02)	Acc@5 100.00 ( 95.84)
