📄 Logging to: output/reg/R/log_20251203_194226.txt
Use GPU: 5 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: R
number of test samples: 30000
Test: [   99/30000]	Time  0.330 ( 0.345)	Acc@1 100.00 ( 80.00)	Acc@5 100.00 ( 95.00)
Test: [  199/30000]	Time  0.349 ( 0.344)	Acc@1 100.00 ( 78.50)	Acc@5 100.00 ( 94.50)
Test: [  299/30000]	Time  0.343 ( 0.346)	Acc@1 100.00 ( 77.67)	Acc@5 100.00 ( 93.33)
Test: [  399/30000]	Time  0.366 ( 0.349)	Acc@1 100.00 ( 76.75)	Acc@5 100.00 ( 93.50)
Test: [  499/30000]	Time  0.363 ( 0.355)	Acc@1   0.00 ( 76.40)	Acc@5 100.00 ( 93.20)
Test: [  599/30000]	Time  0.345 ( 0.358)	Acc@1 100.00 ( 76.00)	Acc@5 100.00 ( 93.00)
Test: [  699/30000]	Time  0.363 ( 0.357)	Acc@1 100.00 ( 76.00)	Acc@5 100.00 ( 92.71)
Test: [  799/30000]	Time  0.338 ( 0.355)	Acc@1 100.00 ( 76.00)	Acc@5 100.00 ( 93.00)
Test: [  899/30000]	Time  0.359 ( 0.356)	Acc@1 100.00 ( 76.67)	Acc@5 100.00 ( 93.22)
Test: [  999/30000]	Time  0.355 ( 0.356)	Acc@1   0.00 ( 76.40)	Acc@5 100.00 ( 92.30)
Test: [ 1099/30000]	Time  0.367 ( 0.356)	Acc@1 100.00 ( 76.55)	Acc@5 100.00 ( 92.09)
Test: [ 1199/30000]	Time  0.349 ( 0.356)	Acc@1 100.00 ( 76.67)	Acc@5 100.00 ( 92.17)
Test: [ 1299/30000]	Time  0.345 ( 0.357)	Acc@1 100.00 ( 76.85)	Acc@5 100.00 ( 92.46)
Test: [ 1399/30000]	Time  0.340 ( 0.356)	Acc@1 100.00 ( 77.43)	Acc@5 100.00 ( 92.57)
Test: [ 1499/30000]	Time  0.358 ( 0.355)	Acc@1 100.00 ( 78.00)	Acc@5 100.00 ( 92.80)
Test: [ 1599/30000]	Time  0.365 ( 0.357)	Acc@1 100.00 ( 78.31)	Acc@5 100.00 ( 92.88)
Test: [ 1699/30000]	Time  0.349 ( 0.357)	Acc@1 100.00 ( 78.65)	Acc@5 100.00 ( 92.94)
Test: [ 1799/30000]	Time  0.349 ( 0.357)	Acc@1 100.00 ( 78.89)	Acc@5 100.00 ( 93.06)
Test: [ 1899/30000]	Time  0.363 ( 0.357)	Acc@1 100.00 ( 78.74)	Acc@5 100.00 ( 92.89)
Test: [ 1999/30000]	Time  0.349 ( 0.356)	Acc@1 100.00 ( 78.25)	Acc@5 100.00 ( 92.55)
Test: [ 2099/30000]	Time  0.350 ( 0.356)	Acc@1 100.00 ( 78.10)	Acc@5 100.00 ( 92.57)
Test: [ 2199/30000]	Time  0.357 ( 0.356)	Acc@1 100.00 ( 78.05)	Acc@5 100.00 ( 92.55)
Test: [ 2299/30000]	Time  0.368 ( 0.357)	Acc@1 100.00 ( 78.13)	Acc@5 100.00 ( 92.52)
Test: [ 2399/30000]	Time  0.390 ( 0.358)	Acc@1 100.00 ( 78.29)	Acc@5 100.00 ( 92.58)
Test: [ 2499/30000]	Time  0.340 ( 0.358)	Acc@1 100.00 ( 78.36)	Acc@5 100.00 ( 92.60)
Test: [ 2599/30000]	Time  0.339 ( 0.358)	Acc@1   0.00 ( 78.46)	Acc@5   0.00 ( 92.65)
Test: [ 2699/30000]	Time  0.332 ( 0.357)	Acc@1 100.00 ( 78.74)	Acc@5 100.00 ( 92.78)
