📄 Logging to: output/reset/og/SUN397/log_20251201_111256.txt
Use GPU: 7 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: SUN397
number of test samples: 19850
Test: [   99/19850]	Time  0.525 ( 0.542)	Acc@1   0.00 ( 72.00)	Acc@5 100.00 ( 90.00)
Test: [  199/19850]	Time  0.553 ( 0.542)	Acc@1 100.00 ( 68.50)	Acc@5 100.00 ( 91.50)
Test: [  299/19850]	Time  0.606 ( 0.554)	Acc@1 100.00 ( 70.00)	Acc@5 100.00 ( 91.67)
Test: [  399/19850]	Time  0.577 ( 0.559)	Acc@1 100.00 ( 69.75)	Acc@5 100.00 ( 90.50)
Test: [  499/19850]	Time  0.544 ( 0.558)	Acc@1 100.00 ( 71.80)	Acc@5 100.00 ( 90.80)
Test: [  599/19850]	Time  0.567 ( 0.556)	Acc@1   0.00 ( 70.67)	Acc@5 100.00 ( 90.50)
Test: [  699/19850]	Time  0.549 ( 0.558)	Acc@1   0.00 ( 68.71)	Acc@5 100.00 ( 90.14)
Test: [  799/19850]	Time  0.592 ( 0.562)	Acc@1 100.00 ( 68.75)	Acc@5 100.00 ( 90.38)
Test: [  899/19850]	Time  0.562 ( 0.563)	Acc@1 100.00 ( 68.44)	Acc@5 100.00 ( 90.89)
Test: [  999/19850]	Time  0.568 ( 0.562)	Acc@1 100.00 ( 68.70)	Acc@5 100.00 ( 91.30)
Test: [ 1099/19850]	Time  0.564 ( 0.562)	Acc@1   0.00 ( 68.27)	Acc@5   0.00 ( 90.82)
Test: [ 1199/19850]	Time  0.577 ( 0.563)	Acc@1   0.00 ( 68.25)	Acc@5 100.00 ( 91.08)
Test: [ 1299/19850]	Time  0.576 ( 0.565)	Acc@1   0.00 ( 68.46)	Acc@5 100.00 ( 91.23)
Test: [ 1399/19850]	Time  0.579 ( 0.566)	Acc@1   0.00 ( 68.07)	Acc@5 100.00 ( 91.21)
Test: [ 1499/19850]	Time  0.550 ( 0.565)	Acc@1   0.00 ( 67.60)	Acc@5 100.00 ( 91.07)
Test: [ 1599/19850]	Time  0.554 ( 0.565)	Acc@1   0.00 ( 67.69)	Acc@5 100.00 ( 91.12)
Test: [ 1699/19850]	Time  0.570 ( 0.567)	Acc@1 100.00 ( 67.94)	Acc@5 100.00 ( 91.24)
Test: [ 1799/19850]	Time  0.566 ( 0.568)	Acc@1 100.00 ( 68.56)	Acc@5 100.00 ( 91.28)
Test: [ 1899/19850]	Time  0.547 ( 0.567)	Acc@1 100.00 ( 68.37)	Acc@5 100.00 ( 91.11)
Test: [ 1999/19850]	Time  0.563 ( 0.567)	Acc@1 100.00 ( 68.50)	Acc@5 100.00 ( 90.95)
Test: [ 2099/19850]	Time  0.587 ( 0.567)	Acc@1 100.00 ( 68.52)	Acc@5 100.00 ( 91.00)
Test: [ 2199/19850]	Time  0.572 ( 0.567)	Acc@1 100.00 ( 68.82)	Acc@5 100.00 ( 91.05)
Test: [ 2299/19850]	Time  0.562 ( 0.568)	Acc@1   0.00 ( 68.57)	Acc@5   0.00 ( 91.13)
Test: [ 2399/19850]	Time  0.572 ( 0.567)	Acc@1 100.00 ( 68.54)	Acc@5 100.00 ( 91.25)
Test: [ 2499/19850]	Time  0.568 ( 0.567)	Acc@1 100.00 ( 68.68)	Acc@5 100.00 ( 91.32)
Test: [ 2599/19850]	Time  0.579 ( 0.567)	Acc@1 100.00 ( 68.73)	Acc@5 100.00 ( 91.31)
Test: [ 2699/19850]	Time  0.554 ( 0.567)	Acc@1 100.00 ( 68.85)	Acc@5 100.00 ( 91.11)
Test: [ 2799/19850]	Time  0.559 ( 0.567)	Acc@1 100.00 ( 68.68)	Acc@5 100.00 ( 91.21)
Test: [ 2899/19850]	Time  0.584 ( 0.567)	Acc@1 100.00 ( 68.86)	Acc@5 100.00 ( 91.17)
Test: [ 2999/19850]	Time  0.614 ( 0.567)	Acc@1 100.00 ( 68.87)	Acc@5 100.00 ( 90.97)
Test: [ 3099/19850]	Time  0.611 ( 0.568)	Acc@1 100.00 ( 68.84)	Acc@5 100.00 ( 90.87)
Test: [ 3199/19850]	Time  0.578 ( 0.569)	Acc@1 100.00 ( 69.00)	Acc@5 100.00 ( 90.88)
Test: [ 3299/19850]	Time  0.577 ( 0.570)	Acc@1 100.00 ( 69.09)	Acc@5 100.00 ( 91.06)
Test: [ 3399/19850]	Time  0.543 ( 0.570)	Acc@1 100.00 ( 69.24)	Acc@5 100.00 ( 91.09)
Test: [ 3499/19850]	Time  0.563 ( 0.570)	Acc@1 100.00 ( 69.17)	Acc@5 100.00 ( 91.14)
Test: [ 3599/19850]	Time  0.615 ( 0.570)	Acc@1 100.00 ( 68.94)	Acc@5 100.00 ( 91.03)
Test: [ 3699/19850]	Time  0.577 ( 0.570)	Acc@1 100.00 ( 68.89)	Acc@5 100.00 ( 90.97)
Test: [ 3799/19850]	Time  0.547 ( 0.570)	Acc@1 100.00 ( 68.87)	Acc@5 100.00 ( 90.95)
Test: [ 3899/19850]	Time  0.551 ( 0.570)	Acc@1   0.00 ( 68.77)	Acc@5 100.00 ( 90.95)
Test: [ 3999/19850]	Time  0.592 ( 0.570)	Acc@1   0.00 ( 68.85)	Acc@5 100.00 ( 90.98)
Test: [ 4099/19850]	Time  0.545 ( 0.570)	Acc@1 100.00 ( 68.80)	Acc@5 100.00 ( 91.00)
Test: [ 4199/19850]	Time  0.546 ( 0.570)	Acc@1   0.00 ( 68.86)	Acc@5 100.00 ( 90.98)
Test: [ 4299/19850]	Time  0.552 ( 0.569)	Acc@1 100.00 ( 68.98)	Acc@5 100.00 ( 91.05)
Test: [ 4399/19850]	Time  0.553 ( 0.569)	Acc@1 100.00 ( 69.16)	Acc@5 100.00 ( 91.11)
Test: [ 4499/19850]	Time  0.549 ( 0.569)	Acc@1 100.00 ( 69.18)	Acc@5 100.00 ( 91.02)
Test: [ 4599/19850]	Time  0.557 ( 0.568)	Acc@1 100.00 ( 69.28)	Acc@5 100.00 ( 91.07)
Test: [ 4699/19850]	Time  0.552 ( 0.568)	Acc@1 100.00 ( 69.40)	Acc@5 100.00 ( 91.17)
Test: [ 4799/19850]	Time  0.550 ( 0.568)	Acc@1 100.00 ( 69.52)	Acc@5 100.00 ( 91.25)
Test: [ 4899/19850]	Time  0.614 ( 0.568)	Acc@1 100.00 ( 69.53)	Acc@5 100.00 ( 91.31)
Test: [ 4999/19850]	Time  0.555 ( 0.568)	Acc@1 100.00 ( 69.60)	Acc@5 100.00 ( 91.32)
Test: [ 5099/19850]	Time  0.561 ( 0.567)	Acc@1 100.00 ( 69.61)	Acc@5 100.00 ( 91.37)
Test: [ 5199/19850]	Time  0.548 ( 0.567)	Acc@1 100.00 ( 69.58)	Acc@5 100.00 ( 91.35)
Test: [ 5299/19850]	Time  0.558 ( 0.567)	Acc@1 100.00 ( 69.51)	Acc@5 100.00 ( 91.34)
Test: [ 5399/19850]	Time  0.577 ( 0.567)	Acc@1 100.00 ( 69.48)	Acc@5 100.00 ( 91.35)
Test: [ 5499/19850]	Time  0.571 ( 0.567)	Acc@1   0.00 ( 69.38)	Acc@5   0.00 ( 91.27)
Test: [ 5599/19850]	Time  0.554 ( 0.567)	Acc@1 100.00 ( 69.50)	Acc@5 100.00 ( 91.29)
Test: [ 5699/19850]	Time  0.548 ( 0.567)	Acc@1 100.00 ( 69.37)	Acc@5 100.00 ( 91.33)
