📄 Logging to: output/sun/9+3/log_20260123_211455.txt
Use GPU: 7 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: SUN397
number of test samples: 19850
Test: [   99/19850]	Time  0.513 ( 0.534)	Acc@1   0.00 ( 78.00)	Acc@5 100.00 ( 93.00)
Test: [  199/19850]	Time  0.522 ( 0.531)	Acc@1 100.00 ( 72.00)	Acc@5 100.00 ( 92.50)
Test: [  299/19850]	Time  0.539 ( 0.532)	Acc@1 100.00 ( 70.33)	Acc@5 100.00 ( 92.33)
Test: [  399/19850]	Time  0.558 ( 0.534)	Acc@1 100.00 ( 70.00)	Acc@5 100.00 ( 91.00)
Test: [  499/19850]	Time  0.535 ( 0.535)	Acc@1 100.00 ( 71.20)	Acc@5 100.00 ( 91.60)
Test: [  599/19850]	Time  0.543 ( 0.538)	Acc@1   0.00 ( 70.17)	Acc@5 100.00 ( 91.33)
Test: [  699/19850]	Time  0.544 ( 0.539)	Acc@1 100.00 ( 68.43)	Acc@5 100.00 ( 91.14)
Test: [  799/19850]	Time  0.547 ( 0.540)	Acc@1 100.00 ( 68.25)	Acc@5 100.00 ( 90.62)
Test: [  899/19850]	Time  0.542 ( 0.541)	Acc@1   0.00 ( 67.56)	Acc@5 100.00 ( 91.00)
Test: [  999/19850]	Time  0.571 ( 0.542)	Acc@1 100.00 ( 67.80)	Acc@5 100.00 ( 91.10)
Test: [ 1099/19850]	Time  0.568 ( 0.543)	Acc@1   0.00 ( 67.64)	Acc@5   0.00 ( 90.64)
Test: [ 1199/19850]	Time  0.553 ( 0.544)	Acc@1   0.00 ( 67.58)	Acc@5 100.00 ( 90.50)
Test: [ 1299/19850]	Time  0.557 ( 0.545)	Acc@1   0.00 ( 67.69)	Acc@5 100.00 ( 90.54)
Test: [ 1399/19850]	Time  0.545 ( 0.546)	Acc@1   0.00 ( 67.50)	Acc@5 100.00 ( 90.36)
Test: [ 1499/19850]	Time  0.581 ( 0.546)	Acc@1   0.00 ( 67.13)	Acc@5 100.00 ( 90.00)
